args.model='/opt/models/hf/Mistral-7B-v0.1', args.outdir='./zstd_comped_weights'
[FW] Linear                         =>  13999.4 MB
[FW] Identity                       =>  14007.4 MB
[FW] Linear                         =>  14007.4 MB
[FW] Linear                         =>  14035.4 MB
[FW] Linear                         =>  13999.4 MB
[FW] Linear                         =>  13989.4 MB
[FW] Identity                       =>  14017.4 MB
[FW] Linear                         =>  14017.4 MB
[FW] Linear                         =>  14025.4 MB
[FW] Linear                         =>  13989.4 MB
[FW] MistralMLP                     =>  13975.4 MB
[FW] MistralDecoderLayer            =>  13967.4 MB
[FW] MistralRMSNorm                 =>  13967.4 MB
[FW] Linear                         =>  13971.4 MB
[FW] Linear                         =>  13972.4 MB
[FW] Linear                         =>  13973.4 MB
[FW] Linear                         =>  13981.4 MB
[FW] MistralAttention               =>  13973.4 MB
[FW] MistralRMSNorm                 =>  13973.4 MB
[FW] Linear                         =>  13987.4 MB
[FW] Identity                       =>  13995.4 MB
[FW] Linear                         =>  13995.4 MB
[FW] Linear                         =>  14023.4 MB
[FW] Linear                         =>  13987.4 MB
[FW] SiLU                           =>  14001.4 MB
[FW] Linear                         =>  14001.4 MB
[FW] Identity                       =>  14009.4 MB
[FW] Linear                         =>  14009.4 MB
[FW] Linear                         =>  14037.4 MB
[FW] Linear                         =>  14001.4 MB
[FW] Linear                         =>  13991.4 MB
[FW] Identity                       =>  14019.4 MB
[FW] Linear                         =>  14019.4 MB
[FW] Linear                         =>  14027.4 MB
[FW] Linear                         =>  13991.4 MB
[FW] MistralMLP                     =>  13977.4 MB
[FW] MistralDecoderLayer            =>  13969.4 MB
[FW] MistralRMSNorm                 =>  13969.4 MB
[FW] Linear                         =>  13973.4 MB
[FW] Linear                         =>  13974.4 MB
[FW] Linear                         =>  13975.4 MB
[FW] Linear                         =>  13983.4 MB
[FW] MistralAttention               =>  13975.4 MB
[FW] MistralRMSNorm                 =>  13975.4 MB
[FW] Linear                         =>  13989.4 MB
[FW] Identity                       =>  13997.4 MB
[FW] Linear                         =>  13997.4 MB
[FW] Linear                         =>  14025.4 MB
[FW] Linear                         =>  13989.4 MB
[FW] SiLU                           =>  14003.4 MB
[FW] Linear                         =>  14003.4 MB
[FW] Identity                       =>  14011.4 MB
[FW] Linear                         =>  14011.4 MB
[FW] Linear                         =>  14039.4 MB
[FW] Linear                         =>  14003.4 MB
[FW] Linear                         =>  13993.4 MB
[FW] Identity                       =>  14021.4 MB
[FW] Linear                         =>  14021.4 MB
[FW] Linear                         =>  14029.4 MB
[FW] Linear                         =>  13993.4 MB
[FW] MistralMLP                     =>  13979.4 MB
[FW] MistralDecoderLayer            =>  13971.4 MB
[FW] MistralRMSNorm                 =>  13971.4 MB
[FW] Linear                         =>  13975.4 MB
[FW] Linear                         =>  13976.4 MB
[FW] Linear                         =>  13977.4 MB
[FW] Linear                         =>  13985.4 MB
[FW] MistralAttention               =>  13977.4 MB
[FW] MistralRMSNorm                 =>  13977.4 MB
[FW] Linear                         =>  13991.4 MB
[FW] Identity                       =>  13999.4 MB
[FW] Linear                         =>  13999.4 MB
[FW] Linear                         =>  14027.4 MB
[FW] Linear                         =>  13991.4 MB
[FW] SiLU                           =>  14005.4 MB
[FW] Linear                         =>  14005.4 MB
[FW] Identity                       =>  14013.4 MB
[FW] Linear                         =>  14013.4 MB
[FW] Linear                         =>  14041.4 MB
[FW] Linear                         =>  14005.4 MB
[FW] Linear                         =>  13995.4 MB
[FW] Identity                       =>  14023.4 MB
[FW] Linear                         =>  14023.4 MB
[FW] Linear                         =>  14031.4 MB
[FW] Linear                         =>  13995.4 MB
[FW] MistralMLP                     =>  13981.4 MB
[FW] MistralDecoderLayer            =>  13973.4 MB
[FW] MistralRMSNorm                 =>  13973.4 MB
[FW] Linear                         =>  13977.4 MB
[FW] Linear                         =>  13978.4 MB
[FW] Linear                         =>  13979.4 MB
[FW] Linear                         =>  13987.4 MB
[FW] MistralAttention               =>  13979.4 MB
[FW] MistralRMSNorm                 =>  13979.4 MB
[FW] Linear                         =>  13993.4 MB
[FW] Identity                       =>  14001.4 MB
[FW] Linear                         =>  14001.4 MB
[FW] Linear                         =>  14029.4 MB
[FW] Linear                         =>  13993.4 MB
[FW] SiLU                           =>  14007.4 MB
[FW] Linear                         =>  14007.4 MB
[FW] Identity                       =>  14015.4 MB
[FW] Linear                         =>  14015.4 MB
[FW] Linear                         =>  14043.4 MB
[FW] Linear                         =>  14007.4 MB
[FW] Linear                         =>  13997.4 MB
[FW] Identity                       =>  14025.4 MB
[FW] Linear                         =>  14025.4 MB
[FW] Linear                         =>  14033.4 MB
[FW] Linear                         =>  13997.4 MB
[FW] MistralMLP                     =>  13983.4 MB
[FW] MistralDecoderLayer            =>  13975.4 MB
[FW] MistralRMSNorm                 =>  13975.4 MB
[FW] Linear                         =>  13979.4 MB
[FW] Linear                         =>  13980.4 MB
[FW] Linear                         =>  13981.4 MB
[FW] Linear                         =>  13989.4 MB
[FW] MistralAttention               =>  13981.4 MB
[FW] MistralRMSNorm                 =>  13981.4 MB
[FW] Linear                         =>  13995.4 MB
[FW] Identity                       =>  14003.4 MB
[FW] Linear                         =>  14003.4 MB
[FW] Linear                         =>  14031.4 MB
[FW] Linear                         =>  13995.4 MB
[FW] SiLU                           =>  14009.4 MB
[FW] Linear                         =>  14009.4 MB
[FW] Identity                       =>  14017.4 MB
[FW] Linear                         =>  14017.4 MB
[FW] Linear                         =>  14045.4 MB
[FW] Linear                         =>  14009.4 MB
[FW] Linear                         =>  13999.4 MB
[FW] Identity                       =>  14027.4 MB
[FW] Linear                         =>  14027.4 MB
[FW] Linear                         =>  14035.4 MB
[FW] Linear                         =>  13999.4 MB
[FW] MistralMLP                     =>  13985.4 MB
[FW] MistralDecoderLayer            =>  13977.4 MB
[FW] MistralRMSNorm                 =>  13977.4 MB
[FW] Linear                         =>  13981.4 MB
[FW] Linear                         =>  13982.4 MB
[FW] Linear                         =>  13983.4 MB
[FW] Linear                         =>  13991.4 MB
[FW] MistralAttention               =>  13983.4 MB
[FW] MistralRMSNorm                 =>  13983.4 MB
[FW] Linear                         =>  13997.4 MB
[FW] Identity                       =>  14005.4 MB
[FW] Linear                         =>  14005.4 MB
[FW] Linear                         =>  14033.4 MB
[FW] Linear                         =>  13997.4 MB
[FW] SiLU                           =>  14011.4 MB
[FW] Linear                         =>  14011.4 MB
[FW] Identity                       =>  14019.4 MB
[FW] Linear                         =>  14019.4 MB
[FW] Linear                         =>  14047.4 MB
[FW] Linear                         =>  14011.4 MB
[FW] Linear                         =>  14001.4 MB
[FW] Identity                       =>  14029.4 MB
[FW] Linear                         =>  14029.4 MB
[FW] Linear                         =>  14037.4 MB
[FW] Linear                         =>  14001.4 MB
[FW] MistralMLP                     =>  13987.4 MB
[FW] MistralDecoderLayer            =>  13979.4 MB
[FW] MistralRMSNorm                 =>  13979.4 MB
[FW] Linear                         =>  13983.4 MB
[FW] Linear                         =>  13984.4 MB
[FW] Linear                         =>  13985.4 MB
[FW] Linear                         =>  13993.4 MB
[FW] MistralAttention               =>  13985.4 MB
[FW] MistralRMSNorm                 =>  13985.4 MB
[FW] Linear                         =>  13999.4 MB
[FW] Identity                       =>  14007.4 MB
[FW] Linear                         =>  14007.4 MB
[FW] Linear                         =>  14035.4 MB
[FW] Linear                         =>  13999.4 MB
[FW] SiLU                           =>  14013.4 MB
[FW] Linear                         =>  14013.4 MB
[FW] Identity                       =>  14021.4 MB
[FW] Linear                         =>  14021.4 MB
[FW] Linear                         =>  14049.4 MB
[FW] Linear                         =>  14013.4 MB
[FW] Linear                         =>  14003.4 MB
[FW] Identity                       =>  14031.4 MB
[FW] Linear                         =>  14031.4 MB
[FW] Linear                         =>  14039.4 MB
[FW] Linear                         =>  14003.4 MB
[FW] MistralMLP                     =>  13989.4 MB
[FW] MistralDecoderLayer            =>  13981.4 MB
[FW] MistralRMSNorm                 =>  13981.4 MB
[FW] Linear                         =>  13985.4 MB
[FW] Linear                         =>  13986.4 MB
[FW] Linear                         =>  13987.4 MB
[FW] Linear                         =>  13995.4 MB
[FW] MistralAttention               =>  13987.4 MB
[FW] MistralRMSNorm                 =>  13987.4 MB
[FW] Linear                         =>  14001.4 MB
[FW] Identity                       =>  14009.4 MB
[FW] Linear                         =>  14009.4 MB
[FW] Linear                         =>  14037.4 MB
[FW] Linear                         =>  14001.4 MB
[FW] SiLU                           =>  14015.4 MB
[FW] Linear                         =>  14015.4 MB
[FW] Identity                       =>  14023.4 MB
[FW] Linear                         =>  14023.4 MB
[FW] Linear                         =>  14051.4 MB
[FW] Linear                         =>  14015.4 MB
[FW] Linear                         =>  14005.4 MB
[FW] Identity                       =>  14033.4 MB
[FW] Linear                         =>  14033.4 MB
[FW] Linear                         =>  14041.4 MB
[FW] Linear                         =>  14005.4 MB
[FW] MistralMLP                     =>  13991.4 MB
[FW] MistralDecoderLayer            =>  13983.4 MB
[FW] MistralRMSNorm                 =>  13983.4 MB
[FW] Linear                         =>  13987.4 MB
[FW] Linear                         =>  13988.4 MB
[FW] Linear                         =>  13989.4 MB
[FW] Linear                         =>  13997.4 MB
[FW] MistralAttention               =>  13989.4 MB
[FW] MistralRMSNorm                 =>  13989.4 MB
[FW] Linear                         =>  14003.4 MB
[FW] Identity                       =>  14011.4 MB
[FW] Linear                         =>  14011.4 MB
[FW] Linear                         =>  14039.4 MB
[FW] Linear                         =>  14003.4 MB
[FW] SiLU                           =>  14017.4 MB
[FW] Linear                         =>  14017.4 MB
[FW] Identity                       =>  14025.4 MB
[FW] Linear                         =>  14025.4 MB
[FW] Linear                         =>  14053.4 MB
[FW] Linear                         =>  14017.4 MB
[FW] Linear                         =>  14007.4 MB
[FW] Identity                       =>  14035.4 MB
[FW] Linear                         =>  14035.4 MB
[FW] Linear                         =>  14043.4 MB
[FW] Linear                         =>  14007.4 MB
[FW] MistralMLP                     =>  13993.4 MB
[FW] MistralDecoderLayer            =>  13985.4 MB
[FW] MistralRMSNorm                 =>  13985.4 MB
[FW] Linear                         =>  13989.4 MB
[FW] Linear                         =>  13990.4 MB
[FW] Linear                         =>  13991.4 MB
[FW] Linear                         =>  13999.4 MB
[FW] MistralAttention               =>  13991.4 MB
[FW] MistralRMSNorm                 =>  13991.4 MB
[FW] Linear                         =>  14005.4 MB
[FW] Identity                       =>  14013.4 MB
[FW] Linear                         =>  14013.4 MB
[FW] Linear                         =>  14041.4 MB
[FW] Linear                         =>  14005.4 MB
[FW] SiLU                           =>  14019.4 MB
[FW] Linear                         =>  14019.4 MB
[FW] Identity                       =>  14027.4 MB
[FW] Linear                         =>  14027.4 MB
[FW] Linear                         =>  14055.4 MB
[FW] Linear                         =>  14019.4 MB
[FW] Linear                         =>  14009.4 MB
[FW] Identity                       =>  14037.4 MB
[FW] Linear                         =>  14037.4 MB
[FW] Linear                         =>  14045.4 MB
[FW] Linear                         =>  14009.4 MB
[FW] MistralMLP                     =>  13995.4 MB
[FW] MistralDecoderLayer            =>  13987.4 MB
[FW] MistralRMSNorm                 =>  13987.4 MB
[FW] Linear                         =>  13991.4 MB
[FW] Linear                         =>  13992.4 MB
[FW] Linear                         =>  13993.4 MB
[FW] Linear                         =>  14001.4 MB
[FW] MistralAttention               =>  13993.4 MB
[FW] MistralRMSNorm                 =>  13993.4 MB
[FW] Linear                         =>  14007.4 MB
[FW] Identity                       =>  14015.4 MB
[FW] Linear                         =>  14015.4 MB
[FW] Linear                         =>  14043.4 MB
[FW] Linear                         =>  14007.4 MB
[FW] SiLU                           =>  14021.4 MB
[FW] Linear                         =>  14021.4 MB
[FW] Identity                       =>  14029.4 MB
[FW] Linear                         =>  14029.4 MB
[FW] Linear                         =>  14057.4 MB
[FW] Linear                         =>  14021.4 MB
[FW] Linear                         =>  14011.4 MB
[FW] Identity                       =>  14039.4 MB
[FW] Linear                         =>  14039.4 MB
[FW] Linear                         =>  14047.4 MB
[FW] Linear                         =>  14011.4 MB
[FW] MistralMLP                     =>  13997.4 MB
[FW] MistralDecoderLayer            =>  13989.4 MB
[FW] MistralRMSNorm                 =>  13989.4 MB
[FW] Linear                         =>  13993.4 MB
[FW] Linear                         =>  13994.4 MB
[FW] Linear                         =>  13995.4 MB
[FW] Linear                         =>  14003.4 MB
[FW] MistralAttention               =>  13995.4 MB
[FW] MistralRMSNorm                 =>  13995.4 MB
[FW] Linear                         =>  14009.4 MB
[FW] Identity                       =>  14017.4 MB
[FW] Linear                         =>  14017.4 MB
[FW] Linear                         =>  14045.4 MB
[FW] Linear                         =>  14009.4 MB
[FW] SiLU                           =>  14023.4 MB
[FW] Linear                         =>  14023.4 MB
[FW] Identity                       =>  14031.4 MB
[FW] Linear                         =>  14031.4 MB
[FW] Linear                         =>  14059.4 MB
[FW] Linear                         =>  14023.4 MB
[FW] Linear                         =>  14013.4 MB
[FW] Identity                       =>  14041.4 MB
[FW] Linear                         =>  14041.4 MB
[FW] Linear                         =>  14049.4 MB
[FW] Linear                         =>  14013.4 MB
[FW] MistralMLP                     =>  13999.4 MB
[FW] MistralDecoderLayer            =>  13991.4 MB
[FW] MistralRMSNorm                 =>  13991.4 MB
[FW] Linear                         =>  13995.4 MB
[FW] Linear                         =>  13996.4 MB
[FW] Linear                         =>  13997.4 MB
[FW] Linear                         =>  14005.4 MB
[FW] MistralAttention               =>  13997.4 MB
[FW] MistralRMSNorm                 =>  13997.4 MB
[FW] Linear                         =>  14011.4 MB
[FW] Identity                       =>  14019.4 MB
[FW] Linear                         =>  14019.4 MB
[FW] Linear                         =>  14047.4 MB
[FW] Linear                         =>  14011.4 MB
[FW] SiLU                           =>  14025.4 MB
[FW] Linear                         =>  14025.4 MB
[FW] Identity                       =>  14033.4 MB
[FW] Linear                         =>  14033.4 MB
[FW] Linear                         =>  14061.4 MB
[FW] Linear                         =>  14025.4 MB
[FW] Linear                         =>  14015.4 MB
[FW] Identity                       =>  14043.4 MB
[FW] Linear                         =>  14043.4 MB
[FW] Linear                         =>  14051.4 MB
[FW] Linear                         =>  14015.4 MB
[FW] MistralMLP                     =>  14001.4 MB
[FW] MistralDecoderLayer            =>  13993.4 MB
[FW] MistralRMSNorm                 =>  13993.4 MB
[FW] Linear                         =>  13997.4 MB
[FW] Linear                         =>  13998.4 MB
[FW] Linear                         =>  13999.4 MB
[FW] Linear                         =>  14007.4 MB
[FW] MistralAttention               =>  13999.4 MB
